action	hebrewCollision	incomingId	incomingRoman	incomingHebrew	suggestedIncomingHebrew	kimaMazal	kimaRoman	kimaHebrew	suggestedKimaHebrew	kimaPlaceId	distanceKm	note
disambiguate-distinct	אוסטרוויק (גרמניה)	987007567653605171	Osterwieck (Germany)	אוסטרוויק (גרמניה)	אוסטרוויק (Osterwieck)	987007540473305171	Osterwick (Germany)	אוסטרוויק (גרמניה)	אוסטרוויק (Osterwick)	88363		שני מקומות שונים עם תעתיק עברי זהה: Osterwieck (Germany) / Osterwick (Germany)
disambiguate-distinct	אוש (קירגיזסטן)	987007562059705171	Osh oblasty (Kyrgyzstan)	אוש (קירגיזסטן)	אוש (קירגיזסטן : אובלסט)	987007557660205171	Osh (Kyrgyzstan)	אוש (קירגיזסטן)	אוש (Osh)	14806	62.1	שני מקומות שונים עם תעתיק עברי זהה: Osh oblasty (Kyrgyzstan) / Osh (Kyrgyzstan)
disambiguate-distinct	אישיגאקי (יפן)	987007557512105171	Ishigaki-shi (Japan)	אישיגאקי (יפן)	אישיגאקי (יפן : עיר)	987007532395305171	Ishigaki Island (Japan)	אישיגאקי (אי) (יפן)	אישיגאקי (אי) (יפן : אי)	90599	8.0	שני מקומות שונים עם תעתיק עברי זהה: Ishigaki-shi (Japan) / Ishigaki Island (Japan)
disambiguate-distinct	אלבה (איטליה)	987007533395005171	Elba (Italy)	אלבה (איטליה)	אלבה (Elba)	987007554793005171	Alba (Italy)	אלבה (איטליה)	אלבה (Alba)	6326	279.0	שני מקומות שונים עם תעתיק עברי זהה: Elba (Italy) / Alba (Italy)
disambiguate-distinct	אנינגן (גרמניה)	987007494092005171	Ehningen (Germany)	אנינגן (גרמניה)	אנינגן (Ehningen)	987007557723505171	Eningen unter Achalm (Germany)	אנינגן (גרמניה)	אנינגן (Eningen unter Achalm)	69527	31.1	שני מקומות שונים עם תעתיק עברי זהה: Ehningen (Germany) / Eningen unter Achalm (Germany)
disambiguate-distinct	הוכשטטן (גרמניה)	987011060395805171	Hochstätten (Germany)	הוכשטטן (גרמניה)	הוכשטטן (Hochstätten)	987007467698905171	Hochstetten (Germany)	הוכשטטן (גרמניה)	הוכשטטן (Hochstetten)	20088		שני מקומות שונים עם תעתיק עברי זהה: Hochstätten (Germany) / Hochstetten (Germany)
disambiguate-distinct	המזרח הרחוק הרוסי (רוסיה)	987007496754305171	Dalʹnevostochnyĭ federalʹnyĭ okrug (Russia)	המזרח הרחוק הרוסי (רוסיה)	המזרח הרחוק הרוסי (רוסיה : מחוז פדרלי)	987007560867505171	Russian Far East (Russia)	המזרח הרחוק הרוסי (רוסיה)	המזרח הרחוק הרוסי (Russian Far East)	2472		שני מקומות שונים עם תעתיק עברי זהה: Dalʹnevostochnyĭ federalʹnyĭ okrug (Russia) / Russian Far East (Russia)
disambiguate-distinct	זלין (צ'כיה)	987007479992705171	Zlínský kraj (Czech Republic)	זלין (צ'כיה)	זלין (צ'כיה : מחוז)	987007530957905171	Zlín (Czech Republic)	זלין (צ'כיה)	זלין (Zlín)	90680	4.4	שני מקומות שונים עם תעתיק עברי זהה: Zlínský kraj (Czech Republic) / Zlín (Czech Republic)
disambiguate-distinct	טרבזון (טורקיה)	987007469750605171	Ardeşen (Turkey)	טרבזון (טורקיה)	טרבזון (Ardeşen)	987007562581305171	Trabzon (Turkey)	טרבזון (טורקיה)	טרבזון (Trabzon)	15404	107.9	שני מקומות שונים עם תעתיק עברי זהה: Ardeşen (Turkey) / Trabzon (Turkey)
disambiguate-distinct	לובן (גרמניה)	987007494367505171	Lüben (Germany)	לובן (גרמניה)	לובן (Lüben)	987007473617305171	Lübben (Germany)	לובן (גרמניה)	לובן (Lübben)	77512	170.0	שני מקומות שונים עם תעתיק עברי זהה: Lüben (Germany) / Lübben (Germany)
disambiguate-distinct	ליברץ (צ'כיה)	987007480110605171	Liberecký kraj (Czech Republic)	ליברץ (צ'כיה)	ליברץ (צ'כיה : מחוז)	987007567064405171	Liberec (Czech Republic)	ליברץ (צ'כיה)	ליברץ (Liberec)	13601	8.2	שני מקומות שונים עם תעתיק עברי זהה: Liberecký kraj (Czech Republic) / Liberec (Czech Republic)
disambiguate-distinct	מושבה היוונית (ירושלים, ישראל)	987007471773005171	Moshavah ha-Yevanit (Jerusalem, Israel)	מושבה היוונית (ירושלים, ישראל)	מושבה היוונית (Moshavah ha-Yevanit)	987007477335005171	Greek Colony (Jerusalem, Israel)	מושבה היוונית (ירושלים, ישראל)	מושבה היוונית (ירושלים, ישראל : מושבה)			שני מקומות שונים עם תעתיק עברי זהה: Moshavah ha-Yevanit (Jerusalem, Israel) / Greek Colony (Jerusalem, Israel)
disambiguate-distinct	מחוז הורדנה (בלארוס)	987007566720805171	Hrodzenskai︠a︡ voblastsʹ (Belarus)	מחוז הורדנה (בלארוס)	מחוז הורדנה (בלארוס : אובלסט)	987007537806505171	Hrodzenski rai︠o︡n (Belarus)	מחוז הורדנה (בלארוס)	מחוז הורדנה (בלארוס : נפה)	90646	48.8	שני מקומות שונים עם תעתיק עברי זהה: Hrodzenskai︠a︡ voblastsʹ (Belarus) / Hrodzenski rai︠o︡n (Belarus)
disambiguate-distinct	מחוז מינסק (בלארוס)	987007562028305171	Minskai︠a︡ voblastsʹ (Belarus)	מחוז מינסק (בלארוס)	מחוז מינסק (בלארוס : אובלסט)	987007531128305171	Minski rai︠o︡n (Belarus)	מחוז מינסק (בלארוס)	מחוז מינסק (בלארוס : נפה)	90598	30.5	שני מקומות שונים עם תעתיק עברי זהה: Minskai︠a︡ voblastsʹ (Belarus) / Minski rai︠o︡n (Belarus)
disambiguate-distinct	סובאלק (פולין : מחוז)	987007487056105171	Suwałki (Poland : Powiat)	סובאלק (פולין : מחוז)	סובאלק (פולין : נפה)	987007496663905171	Suvalkskai︠a︡ gubernīi︠a︡ (Poland)	פלך סובאלק (פולין)	פלך סובאלק (Suvalkskai︠a︡ gubernīi︠a︡)	20569	22.4	שני מקומות שונים עם תעתיק עברי זהה: Suwałki (Poland : Powiat) / Suvalkskai︠a︡ gubernīi︠a︡ (Poland)
disambiguate-distinct	פרדוביצה (צ'כיה : מחוז)	987007480110005171	Pardubice (Czech Republic : Okres)	פרדוביצה (צ'כיה : מחוז)	פרדוביצה (צ'כיה : נפה)	987007480109905171	Pardubický kraj (Czech Republic)	מחוז פרדוביצה (צ'כיה)	מחוז פרדוביצה (צ'כיה : מחוז)	90637	38.1	שני מקומות שונים עם תעתיק עברי זהה: Pardubice (Czech Republic : Okres) / Pardubický kraj (Czech Republic)
disambiguate-distinct	צ'רנייב (אוקראינה)	987007545176905171	Cherniïv (Ukraine)	צ'רנייב (אוקראינה)	צ'רנייב (אוקראינה : נפה)	987007566754005171	Chernihiv (Ukraine)	צ'רנייב (אוקראינה)	צ'רנייב (אוקראינה : נפה)	9159	552.8	שני מקומות שונים עם תעתיק עברי זהה: Cherniïv (Ukraine) / Chernihiv (Ukraine)
disambiguate-distinct	קאבה (הונגריה)	987007562214205171	Kaba (Hungary)	קאבה (הונגריה)	קאבה (Kaba)	987007373278105171	Káva (Hungary)	קאבה (הונגריה)	קאבה (Káva)	26349	127.4	שני מקומות שונים עם תעתיק עברי זהה: Kaba (Hungary) / Káva (Hungary)
disambiguate-tier	אאכן (גרמניה : מחוז)	987007535451305171	Aachen (Germany : Regierungsbezirk)	אאכן (גרמניה : מחוז)	אאכן (גרמניה : מחוז)	987007564570905171	Aachen (Germany : Landkreis)	אאכן (גרמניה : מחוז)	אאכן (גרמניה : נפה)	90704	11.0	אותו שם, רמות מנהל שונות: Regierungsbezirk / Landkreis
disambiguate-tier	בידגושץ' (פולין : מחוז)	987007550246505171	Bydgoszcz (Poland : Powiat)	בידגושץ' (פולין : מחוז)	בידגושץ' (פולין : נפה)	987007552874605171	Bydgoszcz (Poland : Voivodeship)	בידגושץ' (פולין : מחוז)	בידגושץ' (פולין : מחוז)	9307	15.6	אותו שם, רמות מנהל שונות: Powiat / Voivodeship
disambiguate-tier	ויימאר (גרמניה : מחוז)	987007557595805171	Weimar (Germany : Landkreis)	ויימאר (גרמניה : מחוז)	ויימאר (גרמניה : נפה)	987007557599505171	Weimar (Germany : Stadtkreis)	ויימאר (גרמניה : מחוז)	ויימאר (גרמניה : עיר)	15997		אותו שם, רמות מנהל שונות: Landkreis / Stadtkreis
disambiguate-tier	פוטסדם (גרמניה : מחוז)	987007557599905171	Potsdam (Germany : Stadtkreis)	פוטסדם (גרמניה : מחוז)	פוטסדם (גרמניה : עיר)	987007561805305171	Potsdam (Germany : Bezirk)	פוטסדם (גרמניה : מחוז)	פוטסדם (גרמניה : מחוז)	87539	11.6	אותו שם, רמות מנהל שונות: Stadtkreis / Bezirk
disambiguate-tier	פיוטרקוב (פולין : מחוז)	987007564837905171	Piotrków Trybunalski (Poland : Voivodeship)	פיוטרקוב (פולין : מחוז)	פיוטרקוב (פולין : מחוז)	987007397508205171	Piotrków Trybunalski (Poland : Powiat)	פיוטרקוב (פולין : מחוז)	פיוטרקוב (פולין : נפה)	27136	0.0	אותו שם, רמות מנהל שונות: Voivodeship / Powiat
disambiguate-tier	קוטבוס (גרמניה : מחוז)	987007566933405171	Cottbus (Germany : Landkreis)	קוטבוס (גרמניה : מחוז)	קוטבוס (גרמניה : נפה)	987007559894905171	Cottbus (Germany : Bezirk)	קוטבוס (גרמניה : מחוז)	קוטבוס (גרמניה : מחוז)	15712		אותו שם, רמות מנהל שונות: Landkreis / Bezirk
disambiguate-tier	קושאלין (פולין : מחוז)	987007552845305171	Koszalin (Poland : Voivodeship)	קושאלין (פולין : מחוז)	קושאלין (פולין : מחוז)	987007535822505171	Koszalin (Poland : Powiat)	קושאלין (פולין : מחוז)	קושאלין (פולין : נפה)	90685	23.6	אותו שם, רמות מנהל שונות: Voivodeship / Powiat
report-to-nli	אלבאיסין (גרנדה, ספרד)	987007473743205171	El Albaicín (Granada, Spain)	אלבאיסין (גרנדה, ספרד)		987007542743705171	Albaicín (Granada, Spain)	אלבאיסין (גרנדה, ספרד)		19549	0.0	שמות לועזיים שונים באותו מיקום — כפילות אפשרית ב־NLI: El Albaicín (Granada, Spain) / Albaicín (Granada, Spain)
report-to-nli	בוביניי (צרפת)	987007557862005171	Bobigny (France)	בוביניי (צרפת)		987007550500105171	Bouvignies (France)	בוביניי (צרפת)		90698	0.0	שמות לועזיים שונים באותו מיקום — כפילות אפשרית ב־NLI: Bobigny (France) / Bouvignies (France)
report-to-nli	דובריץ' (בולגריה)	987007567782605171	Dobrich (Bulgaria)	דובריץ' (בולגריה)		987007566710505171	Tolbukhin (Bulgaria)	דובריץ' (בולגריה)		79349	0.5	שמות לועזיים שונים באותו מיקום — כפילות אפשרית ב־NLI: Dobrich (Bulgaria) / Tolbukhin (Bulgaria)
report-to-nli	ולורה (אלבניה)	987007475702205171	Bashkia e Vlorës (Albania)	ולורה (אלבניה)		987007537834005171	Vlorë (Albania)	ולורה (אלבניה)		17345	1.9	שמות לועזיים שונים באותו מיקום — כפילות אפשרית ב־NLI: Bashkia e Vlorës (Albania) / Vlorë (Albania)
report-to-nli	טולכרם (יהודה ושומרון)	987007567331105171	Tulkarem (Sub-District) (West Bank)	טולכרם (יהודה ושומרון)		987007564918505171	Tulkarem (West Bank)	טולכרם (יהודה ושומרון)		73472	0.4	שמות לועזיים שונים באותו מיקום — כפילות אפשרית ב־NLI: Tulkarem (Sub-District) (West Bank) / Tulkarem (West Bank)
