recordId	category	verdict	heading	dupKey	incomingStatus	incomingHeb	incomingCoords	kimaId	kimaMazal	kimaMazalStatus	kimaHeb	kimaCoords	kimaVariantCount	distanceKm	sharedNames	alsoInKimaId	earlierHeadings	nameMismatch	verdictNote
987011433526905171	dup-variants	kima-unresolved	ריו גרנדה (קולורדו-מקסיקו וטקסס)	ריו גרנדה (קולורדו-מקסיקו וטקסס), Río Bravo del Norte	live	ריו גרנדה (קולורדו-מקסיקו וטקסס)	25.9562, -97.1452						0	1639.7	Bravo River (Colo.-Mexico and Tex.) | Bravo del Norte River | Brazo River | El Río Brazo | Grande River (Colo.-Mexico and Tex.) | Grande del Norte River | Kūtsōhīhī | Norte River (Colo.-Mexico and Tex.) | Pajo River | Posoge River | Rio Grande | Rio Grande (Colo.-Mexico and Tex.) | Rio Grande River (Colo.-Mexico and Tex.) | Rio del Norte (Colo.-Mexico and Tex.) | Río Bravo (Colo.-Mexico and Tex.) | Río Bravo del Norte | Río Brazo | Río Grande del Norte | ריו גרנדה (קולורדו-מקסיקו וטקסס) | ريو غراندي (كولورادو - المكسيك وتكساس)	2052		heb: kima=ריו גרנדה nli=ריו גרנדה (קולורדו-מקסיקו וטקסס) | rom: kima=Rio Grande nli=Rio Grande (Colo.-Mexico and Tex.)	לא אותר מקום בכימה עבור הכותרת
987008751189505171	dup-variants	same-id	באנאט	באנאט, Bánság	live	באנאט	45.7, 20.9	6558	987008751189505171	live	באנאט	45.7, 20.9	5	0.0	Banat | Banatul | Bánság | באנאט | בנאט | بنات				כימה כבר מצביעה על אותה רשומה
987007284075505171	dup-variants	same-id	רנידוס (טורקיה : עיר קדומה)	רנידוס (טורקיה : עיר קדומה), Cnidos (Turkey : Extinct city)	live	רנידוס (טורקיה : עיר קדומה)	36.68583, 27.375	1199	987007284075505171	live	רנידוס (טורקיה : עיר קדומה)	36.685833, 27.375	7	0.0	Cnidos (Turkey : Extinct city) | Cnidus (Ancient city) | Cnidus (Turkey : Extinct city) | Gnidus (Turkey : Extinct city) | Knidos (Turkey : Extinct city) | רנידוס (טורקיה : עיר קדומה) | سنيدوس (تركيا : مدينة قديمة)				כימה כבר מצביעה על אותה רשומה
987007528337405171	dup-places-diff	kima-id-suppressed	ביסטרוביץ (פולין)	ביסטרוביץ (פולין)	live	ביסטרוביץ (פולין)	49.93207, 22.57223	26523	987007575412405171	suppressed	ביסטרוביץ (פולין)		3	0.1	Bistrowitz (Poland) | Bystrovychi (Poland) | Bystrowice (Poland) | ביסטראוויץ (פולין) | ביסטרביץ (פולין) | ביסטרוביץ (פולין) | ביסטרוויץ (פולין) | بيستروفيتسه (بولندا)	22466		rom: kima=Bistrowitz (Poland) nli=Bystrowice (Poland) | heb: kima=ביסטראןןיץ (פולין) nli=ביסטרוביץ (פולין)	המזהה בכימה קיים במאגר אך אינו נמסר — נמחק/הוסתר
987007480110005171	dup-places-diff	both-live	פרדוביצה (צ'כיה : מחוז)	פרדוביצה (צ'כיה : מחוז)	live	פרדוביצה (צ'כיה : מחוז)	50.08333, 15.75	90637	987007480109905171	live	פרדוביצה (צ'כיה : מחוז)	49.9, 16.2	0	38.1	Okres Pardubice (Czech Republic) | Pardubice (Czech Republic : Okres) | פרדוביצה (צ'כיה : מחוז) | باردوبيتسه (جمهورية التشيك : أوكريس)	90663		rom: kima=Pardubický kraj (Czech Republic) nli=Pardubice (Czech Republic : Okres) | heb: kima=פרדוביצה (צ'כיה : מחוז משנה) nli=פרדוביצה (צ'כיה : מחוז)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987007567653605171	dup-places-diff	both-live	אוסטרוויק (גרמניה)	אוסטרוויק (גרמניה)	live	אוסטרוויק (גרמניה)	51.96667, 10.71667	88363	987007540473305171	live	אוסטרוויק (גרמניה)		0		אוסטרוויק (גרמניה)			rom: kima=Osterwick (Germany) nli=Osterwieck (Germany)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987007480368805171	dup-variants	same-id	גאושיונג (טאיוואן)	גאושיונג (טאיוואן), Kao-hsiung Shih	live	גאושיונג (טאיוואן)	22.61667, 120.3	9080	987007480368805171	live	גאושיונג (טאיוואן)	22.616667, 120.3	12	0.0	Kao-hsiung (Taiwan) | Kao-hsiung Shih | גאושיונג (טאיוואן) | كاو هسيونغ (تايوان)			rom: kima=Kao-hsiung shih (Taiwan) nli=Kao-hsiung (Taiwan)	כימה כבר מצביעה על אותה רשומה
987007557512105171	dup-places-diff	both-live	אישיגאקי (יפן)	אישיגאקי (יפן)	live	אישיגאקי (יפן)	24.34056, 124.15556	90599	987007532395305171	live	אישיגאקי (יפן)	24.403333333333332, 124.19361111111111	0	8.0	Ishigaki-shi (Japan) | אישיגאקי (יפן) | إيشيغاكي-شي (اليابان)	90700		rom: kima=Ishigaki Island (Japan) nli=Ishigaki-shi (Japan) | heb: kima=אישיגאקי (יפן:אי) nli=אישיגאקי (יפן)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987007562214205171	dup-places-diff	both-live	קאבה (הונגריה)	קאבה (הונגריה)	live	קאבה (הונגריה)	47.3557, 21.2742	26349	987007373278105171	live	קאבה (הונגריה)	47.35, 19.583333	2	127.4	קאבה (הונגריה)			rom: kima=Káva (Hungary) nli=Kaba (Hungary)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987012803472805171	dup-places-diff	kima-id-suppressed	דרום סודאן	דרום סודאן	live	דרום סודאן	8.0, 30.0	22805	987011102591205171	suppressed	דרום סודאן	7, 30	4	111.2			Southern Sudan (Sudan)	arab: kima=السودان الجنوبية (السودان) nli=جنوب السودان	המזהה בכימה קיים במאגר אך אינו נמסר — נמחק/הוסתר
987013170285005171	dup-places-diff	kima-id-suppressed	רמת טיבט	רמת טיבט	live	רמת טיבט	33.0, 92.0	3930	987007561090205171	suppressed	רמת טיבט	33, 88	24	373.0				rom: kima=Tibet, Plateau of nli=Tibetan Plateau	המזהה בכימה קיים במאגר אך אינו נמסר — נמחק/הוסתר
987007602290105171	dup-variants	kima-unresolved	מפרץ אילת	מפרץ אילת, Khalīj al-ʻAqabah	live	מפרץ אילת	28.75, 34.75						0	0.0	Akaba, Gulf of | Aqaba, Gulf of | Bahr el ʻAqaba | Eilat, Gulf of | Elat, Gulf of | Gulf of Aqaba | Khalīj al-ʻAqabah | Sinus Aelaniticus | מפרץ אילת | خليج العقبة	1975		heb: kima=מפרץ עקבה (ירדן) nli=מפרץ אילת | rom: kima=Aqaba, Gulf of (Jordan) nli=Aqaba, Gulf of	לא אותר מקום בכימה עבור הכותרת
987007566720805171	dup-places-diff	both-live	מחוז הורדנה (בלארוס)	מחוז הורדנה (בלארוס)	live	מחוז הורדנה (בלארוס)	53.5, 24.5	90646	987007537806505171	live	מחוז הורדנה (בלארוס)	53.666666666667, 23.816666666667	0	48.8	Grodnenskai︠a︡ oblastʹ (Belarus) | Grodnenskai︠a︡ oblastʹ (Byelorussian S.S.R.) | Grodnenskai︠a︡ oblastʹ, Byelorussian S.S.R. | Grodnenskaya oblastʹ (Belarus) | Grodnyenskaya oblastʹ (Belarus) | Hrodzenskai︠a︡ voblastsʹ (Belarus) | מחוז הורדנה (בלארוס) | هرودزينسكاي (بيلاروس)	90596		rom: kima=Hrodzenski rai︠o︡n (Belarus) nli=Hrodzenskai︠a︡ voblastsʹ (Belarus) | heb: kima=הורדנה (בלארוס: אובלסט) nli=מחוז הורדנה (בלארוס)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987013290993605171	dup-places-diff	kima-id-suppressed	מחוז מוהילב (בלארוס)	מחוז מוהילב (בלארוס)	live	מחוז מוהילב (בלארוס)	54.0, 30.75	12624	987007550425805171	suppressed	מחוז מוהילב (בלארוס)	53.7254, 30.3863	5	38.7				rom: kima=Mahiliouskaia voblasts (Belarus) nli=Mahili︠o︡ŭskai︠a︡ voblastsʹ (Belarus)	המזהה בכימה קיים במאגר אך אינו נמסר — נמחק/הוסתר
