bucket	action	confidence	note	suggestA	suggestB	bothInKima	kimaHolderOfA	recordId	category	verdict	heading	dupKey	aRoman	aHeb	aWd	aWdLabel	aWdHe	aP31	aCoords	bId	bRoman	bHeb	bWd	bWdLabel	bP31	bCoords	bStatus	kimaId	kimaHeb	kimaRom	kimaWd	distanceKm	earlierHeadings
heading-drift	update-kima-heading	high	"Kima 2052 already holds this id under ""ריו גרנדה""; NLI now says ""ריו גרנדה (קולורדו-מקסיקו וטקסס)"" — no second record involved"					987011433526905171	dup-variants	kima-unresolved	ריו גרנדה (קולורדו-מקסיקו וטקסס)	ריו גרנדה (קולורדו-מקסיקו וטקסס), Río Bravo del Norte	Rio Grande (Colo.-Mexico and Tex.)	ריו גרנדה (קולורדו-מקסיקו וטקסס)	Q160636	Rio Grande	ריו גראנדה	river / border river	[25.9562, -97.1452]									2052	ריו גרנדה	Rio Grande	Q160636	1639.7	
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 26523 -> 987007575412405171 is suppressed in NLI; successor is 987007528337405171 ""Bystrowice (Poland)"""			True	"22466 ""ביסטראןןיץ (פולין)"""	987007528337405171	dup-places-diff	kima-id-suppressed	ביסטרוביץ (פולין)	ביסטרוביץ (פולין)	Bystrowice (Poland)	ביסטרוביץ (פולין)	Q5004559	Bystrowice		village of Poland	[49.93207, 22.57223]	987007575412405171	Bistrowitz (Poland)	ביסטרוביץ (פולין)					suppressed	26523	ביסטרוביץ (פולין)	Bistrowitz (Poland)		0.1	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90663 ""פרדוביצה (צ'כיה : מחוז משנה)"" and B as 90637 ""פרדוביצה (צ'כיה : מחוז)""; NLI's flat Hebrew ""פרדוביצה (צ'כיה : מחוז)"" only needs to stay a variant of A"	פרדוביצה (צ'כיה : מחוז משנה)	פרדוביצה (צ'כיה : מחוז)	True	"90663 ""פרדוביצה (צ'כיה : מחוז משנה)"""	987007480110005171	dup-places-diff	both-live	פרדוביצה (צ'כיה : מחוז)	פרדוביצה (צ'כיה : מחוז)	Pardubice (Czech Republic : Okres)	פרדוביצה (צ'כיה : מחוז)	Q838301	Pardubice District	מחוז משנה פרדוביצה	district of the Czech Republic	[50.08333, 15.75]	987007480109905171	Pardubický kraj (Czech Republic)	מחוז פרדוביצה (צ'כיה)	Q193317	Pardubice Region	region of the Czech Republic	[49.9, 16.2]	live	90637	פרדוביצה (צ'כיה : מחוז)	Pardubický kraj (Czech Republic)		38.1	
distinct-homonym	disambiguate-hebrew-region	medium	"same name, different places None km apart: ""Osterwieck (Germany)"" (Osterwieck) / ""Osterwick (Germany)"" (None)"			False		987007567653605171	dup-places-diff	both-live	אוסטרוויק (גרמניה)	אוסטרוויק (גרמניה)	Osterwieck (Germany)	אוסטרוויק (גרמניה)	Q547619	Osterwieck		urban municipality in Germany	[51.96667, 10.71667]	987007540473305171	Osterwick (Germany)	אוסטרוויק (גרמניה)				[52.01667, 7.2]	live	88363	אוסטרוויק (גרמניה)	Osterwick (Germany)	152882196		
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90700 ""אישיגאקי (יפן:אי)"" and B as 90599 ""אישיגאקי (יפן)""; NLI's flat Hebrew ""אישיגאקי (יפן)"" only needs to stay a variant of A"	אישיגאקי (יפן:אי)	אישיגאקי (יפן)	True	"90700 ""אישיגאקי (יפן:אי)"""	987007557512105171	dup-places-diff	both-live	אישיגאקי (יפן)	אישיגאקי (יפן)	Ishigaki-shi (Japan)	אישיגאקי (יפן)	Q838366	Ishigaki	אישיגאקי	city of Japan	[24.34056, 124.15556]	987007532395305171	Ishigaki Island (Japan)	אישיגאקי (אי) (יפן)	Q714339	Ishigaki Island	island	[24.40333, 124.19361]	live	90599	אישיגאקי (יפן)	Ishigaki Island (Japan)		8.0	
distinct-homonym	disambiguate-hebrew-spelling	high	"different places with one Hebrew form: ""Kaba (Hungary)"" (Q247387 Kaba) / ""Káva (Hungary)"" (Q1123767 Káva), 127.4 km"			False		987007562214205171	dup-places-diff	both-live	קאבה (הונגריה)	קאבה (הונגריה)	Kaba (Hungary)	קאבה (הונגריה)	Q247387	Kaba		town in Hungary	[47.3557, 21.2742]	987007373278105171	Káva (Hungary)	קאבה (הונגריה)	Q1123767	Káva	municipality of Hungary	[47.35, 19.58333]	live	26349	קאבה (הונגריה)	Káva (Hungary)		127.4	
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 22805 -> 987011102591205171 is suppressed in NLI; successor is 987012803472805171 ""South Sudan""; earlier heading(s): Southern Sudan (Sudan)"			False		987012803472805171	dup-places-diff	kima-id-suppressed	דרום סודאן	דרום סודאן	South Sudan	דרום סודאן	Q958	South Sudan	דרום סודאן	sovereign state / landlocked country / country	[8.0, 30.0]	987011102591205171	South Sudan	דרום סודאן					suppressed	22805	דרום סודאן	South Sudan	Q958	111.2	Southern Sudan (Sudan)
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 3930 -> 987007561090205171 is suppressed in NLI; successor is 987013170285005171 ""Tibetan Plateau"""			False		987013170285005171	dup-places-diff	kima-id-suppressed	רמת טיבט	רמת טיבט	Tibetan Plateau	רמת טיבט	Q179842	Tibetan Plateau	הרמה הטיבטית	region / plateau	[33.0, 92.0]	987007561090205171	Tibet, Plateau of	רמת טיבט					suppressed	3930	רמת טיבט	Tibet, Plateau of	Q179842	373.0	
heading-drift	update-kima-heading	high	"Kima 1975 already holds this id under ""מפרץ עקבה (ירדן)""; NLI now says ""מפרץ אילת"" — no second record involved"					987007602290105171	dup-variants	kima-unresolved	מפרץ אילת	מפרץ אילת, Khalīj al-ʻAqabah	Aqaba, Gulf of	מפרץ אילת	Q81611	Gulf of Aqaba	מפרץ אילת	bay	[28.75, 34.75]									1975	מפרץ עקבה (ירדן)	Aqaba, Gulf of (Jordan)		0.0	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90596 ""הורדנה (בלארוס: אובלסט)"" and B as 90646 ""מחוז הורדנה (בלארוס)""; NLI's flat Hebrew ""מחוז הורדנה (בלארוס)"" only needs to stay a variant of A"	הורדנה (בלארוס: אובלסט)	מחוז הורדנה (בלארוס)	True	"90596 ""הורדנה (בלארוס: אובלסט)"""	987007566720805171	dup-places-diff	both-live	מחוז הורדנה (בלארוס)	מחוז הורדנה (בלארוס)	Hrodzenskai︠a︡ voblastsʹ (Belarus)	מחוז הורדנה (בלארוס)					[53.5, 24.5]	987007537806505171	Hrodzenski rai︠o︡n (Belarus)	מחוז הורדנה (בלארוס)	Q1965697	Grodno District	district of Belarus / raion of the Soviet Union	[53.66667, 23.81667]	live	90646	מחוז הורדנה (בלארוס)	Hrodzenski rai︠o︡n (Belarus)		48.8	
