recordId	period	category	bucket	action	confidence	note	heading	headingHeb	kimaId	kimaRom	kimaHeb	movedKm	nliCoords	kimaCoords	n034	src034	decision	decisionNote	nliWd	kimaWd	sameWd	featureType	featureEvidence	extentKm	nliWdLabel	kimaWdLabel	nliWdCoord	kimaWdCoord	dNliWd_Nli	dNliWd_Kima	dKimaWd_Kima	dKimaWd_Nli	nliWdNameOk	kimaWdNameOk	nliWdSrc	kimaWdSrc	fixedNliCoords	fix034	bboxHalfDiagKm
987007543674705171	20241028-20241103	location-move	extended-feature	apply-new	high	two points on one Q538 P31=continent / region / subcontinent (extent ~3385 km)	Oceania	אוקיאניה	2850	Oceania	אוקיאניה	2797.7	[-21.0, 166.0]	[-18.5102, 139.3671]	1	gooearth	keep-existing		Q538	Q55643	False	extended	Q538 P31=continent / region / subcontinent; Q55643 P31=region / part of the world / continent; Kima LocationTypeId=2	3385.1	Insular Oceania	Oceania	[-21, 166]	[-18.5102, 139.3671]	0.0	2797.7	0.0	2797.7	True	True	024	WD			0.0
987007584329105171	20250108-20250114	location-move	homonym	research	medium	"two same-named entities: NLI Q4119463 ""Bruqin"" vs Kima Q286871 ""Burqin"""	Brukin (West Bank)	ברוקין (יהודה ושומרון)	76716	Brukin (West Bank)	ברוקין (יהודה ושומרון)	45.3	[32.07111, 35.09944]	[32.455555555556, 35.260277777778]	1	gooearth	apply-new		Q4119463	Q286871	False	point	Q4119463 P31=town; Q286871 P31=town	126.5	Bruqin	Burqin	[32.071111111111, 35.099444444444]	[32.455555555556, 35.260277777778]	0.0	45.3	0.0	45.3	True	True	024	WD			0.0
987007558086305171	20250108-20250114	location-move	extended-feature	apply-new	high	two points on one Q46 P31=part of the world / continent / region / geographic location (extent ~3601 km)	Europe	אירופה	75795	Europe	אירופה	1343.3	[58.3551, 21.44535]	[48.690959, 9.14062]	1	gooearth	region		Q46	Q46	True	extended	Q46 P31=part of the world / continent / region / geographic location; NLI 034 box half-diagonal 3220 km	3601.3	Europe	Europe	[48.690959, 9.14062]	[48.690959, 9.14062]	1343.3	0.0	0.0	1343.3	True	True	024	WD			3220.1
987007282447105171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q19709 P31=river (extent ~154 km)	Avon, River (Leicestershire-Gloucestershire, England)	נהר אייבון (אנגליה)	1858	Avon, River (Leicestershire-Gloucestershire, England)	נהר אייבון (אנגליה)	91.5	[51.9964, -2.1636]	[52.3972, -0.9906]	1	gooearth	river		Q19709	Q19709	True	extended	Q19709 P31=river	154.0	River Avon	River Avon	[52.3972, -0.9906]	[52.3972, -0.9906]	91.5	0.0	0.0	91.5	True	True	024	WD			0.0
987007555593705171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q190695 P31=non-geologically related mountain range / upland / mountain range (extent ~329 km)	Massif Central (France)	מאסיף סנטרל (צרפת)	2624	Massif Central (France)	מאסיף סנטרל (צרפת)	86.2	[45.0, 3.0]	[45.775, 2.966667]	1	gooearth	region		Q190695	Q190695	True	extended	Q190695 P31=non-geologically related mountain range / upland / mountain range	329.0	Massif Central	Massif Central	[45.775, 2.966667]	[45.775, 2.966667]	86.2	0.0	0.0	86.2	True	True	024	WD			0.0
987007531868905171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q19686 P31=river (extent ~334 km)	Thames River (England)	נהר התמזה (אנגליה)	2259	Thames River (England)	נהר התמזה (אנגליה)	183.6	[51.69444, -2.02972]	[51.5, 0.61]	1	gooearth	river		Q19686	Q19686	True	extended	Q19686 P31=river	334.0	River Thames	River Thames	[51.5, 0.61]	[51.5, 0.61]	183.6	0.0	0.0	183.6	True	True	024	WD			0.0
987007548212005171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q43467 P31=peninsula / region (extent ~1753 km)	Indochina	הודו-סין	1315	Indochina	הודו-סין	691.3	[21.03333, 105.85]	[16, 102]	1	gooearth	region		Q43467	Q43467	True	extended	Q43467 P31=peninsula / region; Kima LocationTypeId=2	1753.0	Mainland Southeast Asia	Mainland Southeast Asia	[16, 102]	[16, 102]	691.3	0.0	0.0	691.3	True	True	024	WD			0.0
987007292819905171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q13696 P31=river (extent ~410 km)	Adige River (Italy)	נהר אדיג'ה (איטליה)	1572	Adige River (Italy)	נהר אדיג'ה (איטליה)	233.2	[45.1596, 12.3311]	[46.83536388888889, 10.515172222222223]	1	gooearth	river		Q13696	Q13696	True	extended	Q13696 P31=river	410.0	Adige	Adige	[46.83536388888889, 10.515172222222223]	[46.83536388888889, 10.515172222222223]	233.2	0.0	0.0	233.2	True	True	024	WD			0.0
987007536401205171	20250115-20250121	location-move	extended-feature	apply-new	high	two points on one Q13712 P31=river (extent ~405 km)	Tiber River (Italy)	נהר הטיבר (איטליה)	2267	Tiber River (Italy)	נהר הטיבר (איטליה)	227.9	[41.74056, 12.23333]	[43.786916666667, 12.077666666667]	1	gooearth	river		Q13712	Q13712	True	extended	Q13712 P31=river	405.0	Tiber	Tiber	[43.786916666667, 12.077666666667]	[43.786916666667, 12.077666666667]	227.9	0.0	0.0	227.9	True	True	024	WD			0.0
987007507581905171	20250115-20250121	location-move	nli-coords-wrong	keep-existing+report	medium	Wikidata Q2416499 (NLI only) is 0 km from Kima, 33 km from NLI	Theilheim (Germany)	טהיילהיים (גרמניה)	23960	Theilheim (Germany)	טהיילהיים (גרמניה)	33.1	[49.7587, 10.50924]	[49.9433, 10.1478]	1	gooearth	keep-existing		Q2416499		False	point	Q2416499 P31=human settlement / Ortsteil	3.0	Theilheim		[49.9433, 10.1478]		33.1	0.0			True		024				7.8
