period_detected,assessment,new_record_nli_id,new_record_url,new_record_heb,new_record_rom,new_record_ara,new_record_wikidata,new_record_viaf,new_record_lccn,new_record_lat_lon,existing_record_nli_id,existing_record_url,existing_record_heb,existing_record_rom,existing_record_ara,existing_record_wikidata,existing_record_viaf,existing_record_lat_lon,kima_place_id,partner_source,distance_km,notes
20250115-20250121,distinct places — Hebrew heading collision + inconsistent external links,987007552593705171,https://www.nli.org.il/he/authorities/987007552593705171,שטרסבורג (גרמניה),Strassburg (Germany),ستراسبورغ (ألمانيا),Q6602,159383370,n 81022641,"48.56911,7.76209",987007564869005171,https://www.nli.org.il/he/authorities/987007564869005171,שטרסבורג (גרמניה),Strasburg (Germany),,,,,90628,local-dump-20250126,,"NOT a true duplicate — two distinct places sharing the Hebrew heading: existing record 987007564869005171 = Strasburg (Uckermark), a town in NE Germany (WD Q565624, GeoNames 6551200, 53.5N 13.75E); new record = Strassburg (Germany), the historical heading for Strasbourg in Alsace under German rule, valid 1871-1918 (same city as Strasbourg, France). SEPARATE ISSUE on 987007552593705171: its external links are inconsistent — the Wikipedia link on the NLI page points to the German town Strasburg (Uckermark), while its VIAF (159383370) and the usage comment (works entered under Strasbourg (France)) point to the French Strasbourg; the record also carries Wikidata Q6602 = Strasbourg, France. The Hebrew heading needs disambiguation (e.g. שטרסבורג (אוקרמרק, גרמניה))."
20250219-20250225,CHECK — different Wikidata IDs (Q547619 vs 152882196): possibly two distinct places,987007567653605171,https://www.nli.org.il/he/authorities/987007567653605171,אוסטרוויק (גרמניה),Osterwieck (Germany),أوسترفيك (ألمانيا),Q547619,152582136,n 91087784,"51.96667,10.71667",987007540473305171,https://www.nli.org.il/he/authorities/987007540473305171,אוסטרוויק (גרמניה),Osterwick (Germany),,152882196,,,88363,local-dump-20250126,,
20250219-20250225,CHECK — different Wikidata IDs (Q572410 vs Q518690): possibly two distinct places,987011252608705171,https://www.nli.org.il/he/authorities/987011252608705171,אופנהיים (גרמניה),Uffenheim (Germany),أوفنهايم (ألمانيا),Q572410,,,"49.54385,10.23405",987007564474705171,https://www.nli.org.il/he/authorities/987007564474705171,אופנהיים (גרמניה),Oppenheim (Germany),,Q518690,149571899,"49.855555555556,8.3602777777778",13697,kima-api,139.1,
20250219-20250225,CHECK — different Wikidata IDs (Q830245 vs Q1675596): possibly two distinct places,987007555460205171,https://www.nli.org.il/he/authorities/987007555460205171,ברסלאו (גרמניה : מחוז),Breslau (Germany : Regierungsbezirk),بريسلاو (ألمانيا : ريجيرونس بيزيرك),Q830245,150157573,n 85071593,"51.11083,17.04761",987007564951105171,https://www.nli.org.il/he/authorities/987007564951105171,ברסלאו (גרמניה : מחוז),Breslau (Germany : Landkreis),,Q1675596,,,75181,local-dump-20250126,,
20250219-20250225,probable duplicate — needs manual confirmation (no comparable identifiers),987007538277505171,https://www.nli.org.il/he/authorities/987007538277505171,מנהיים (גרמניה),Manheim (Germany),مانهايم (ألمانيا),,156378968,nr 91030384,,987007555075505171,https://www.nli.org.il/he/authorities/987007555075505171,מנהיים (גרמניה),Mannheim (Germany),,Q2119,135518763,"49.48777777777778,8.466111111111111",8664,kima-api,,
20250219-20250225,probable duplicate — needs manual confirmation (no comparable identifiers),987007559599105171,https://www.nli.org.il/he/authorities/987007559599105171,מריון (פנסילבניה),Merion (Pa.),ميريون (بنسلفانيا),,235192848,n 81124897,,987007568883705171,https://www.nli.org.il/he/authorities/987007568883705171,מריון (פנסילבניה),Marion (Pa.),,Q6765052,56146461453727730432,"35.683055555,-82.005833333",206,kima-api,,
20250219-20250225,CHECK — different Wikidata IDs (Q1099419 vs Q544212): possibly two distinct places,987010489292905171,https://www.nli.org.il/he/authorities/987010489292905171,פוליני (צרפת),Pulligny (France),بولينيي (فرنسا),Q1099419,,,"48.54194,6.14139",987007538131305171,https://www.nli.org.il/he/authorities/987007538131305171,פוליני (צרפת),Poligny (France),,Q544212,124764186,"46.836111111111,5.7077777777778",18065,kima-api,192.4,
20250219-20250225,CHECK — coordinates 127.4 km apart: possibly two distinct places,987007562214205171,https://www.nli.org.il/he/authorities/987007562214205171,קאבה (הונגריה),Kaba (Hungary),كابا (المجر),Q247387,134926246,n 85012490,"47.3557,21.2742",987007373278105171,https://www.nli.org.il/he/authorities/987007373278105171,קאבה (הונגריה),Káva (Hungary),,,31151963642800311980,"47.35,19.583333",26349,kima-api,127.4,
20250319-20250325,same place (identical Wikidata ID) — duplicate records,987012803472805171,https://www.nli.org.il/he/authorities/987012803472805171,דרום סודאן,South Sudan,جنوب السودان,Q958,173031028,no2011104475,"7.5,30.0",987011102591205171,https://www.nli.org.il/he/authorities/987011102591205171,דרום סודאן,South Sudan,السودان الجنوبية (السودان),Q958,173031028,"7,30",22805,kima-api,55.6,
20250402-20250408,same place (identical Wikidata ID) — duplicate records,987013170285005171,https://www.nli.org.il/he/authorities/987013170285005171,רמת טיבט,Tibetan Plateau,هضبة التبت,Q179842,,sh 86005180,,987007561090205171,https://www.nli.org.il/he/authorities/987007561090205171,רמת טיבט,"Tibet, Plateau of",,Q179842,242111754,"33,88",3930,kima-api,,
20250409-20250415,CHECK — different Wikidata IDs (Q538290 vs Q48614054): possibly two distinct places,987007535400105171,https://www.nli.org.il/he/authorities/987007535400105171,ביסינגן (גרמניה),Bisingen (Germany),بيسنجن (ألمانيا),Q538290,150254367,n 95008587,"48.31194,8.91778",987007557605705171,https://www.nli.org.il/he/authorities/987007557605705171,ביסינגן (גרמניה),Bissingen an der Enz (Germany),,Q48614054,133765493,"48.94696,9.09924",15982,kima-api,71.9,
20250409-20250415,CHECK — different Wikidata IDs (Q21767790 vs Q672888): possibly two distinct places,987007552530505171,https://www.nli.org.il/he/authorities/987007552530505171,הרן (בלגיה),Herne (Belgium),هيرن (بلجيكا),Q21767790,130169089,n  79007299,"50.72489,4.02828",987007550307105171,https://www.nli.org.il/he/authorities/987007550307105171,הרן (בלגיה),Haren (Belgium),,Q672888,,"50.8919,4.4183",90447,kima-api,33.1,
20250521-20250527,CHECK — different Wikidata IDs (Q671557 vs Q584443): possibly two distinct places,987007567480105171,https://www.nli.org.il/he/authorities/987007567480105171,ברקלי (אנגליה),Brackley (England),براكلي (إنجلترا),Q671557,159555863,n 88208813,"52.032,-1.147",987007567237905171,https://www.nli.org.il/he/authorities/987007567237905171,ברקלי (אנגליה),Berkeley (England),,Q584443,,"51.691,-2.459",77192,local-dump-20250126,97.7,
