nli_id,url,period_detected,live_status,problem,current_034,suggested_034,heading_rom,heading_heb,wikidata,batch_921,pipeline_result
987012654573505171,https://www.nli.org.il/he/authorities/987012654573505171,20260212-20260218,live,dms-with-decimal-seconds-unpadded ; dms-missing-leading-zero,[geohack] d=01256.88 e=01256.88 f=451335.04 g=451335.04 || [geonames] d=E01230 e=E01230 f=N451339 g=N451339,d=E0001230 e=E0001230 f=N0451339 g=N0451339,Saint Privat en Périgord (France),סן פריבה-אן-פריגור (צרפת),Q27139960,BMC 202401,FAILURE in SQL Server (invalid geography)
987012881576405171,https://www.nli.org.il/he/authorities/987012881576405171,20260305-20260311,live,contains-space,[geonames] d=E0 313059 e=E0 313059 f=N0305619 g=N0305619,,Thmuis (Extinct city),תמוויס (עיר קדומה),Q4459073,,skipped: no valid 034
987011433527505171,https://www.nli.org.il/he/authorities/987011433527505171,20260528-20260603,live,contains-space,[geonames] d=E 1103920 e=E 1103920 f=N 0471910 g=N 0471910,,Ȯndȯrkhaan (Mongolia),אונדורחאן (מונגוליה),Q297632 | 33147121745226392173,,skipped: no valid 034
987013787265205171,https://www.nli.org.il/he/authorities/987013787265205171,20260528-20260603,live,contains-space,[geonames] d=E 1065003 e=E 1065003 f=N 0482531 g=N 0482531,,Batsu̇mbėr Sum (Mongolia),בצומבר סום (מונגוליה),Q3396615,,skipped: no valid 034
987012857476805171,https://www.nli.org.il/he/authorities/987012857476805171,20250916-20250922,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 033.3726 f=N028.8973 g=,,Maghareh Site (Egypt),אתר מע'רה (מצרים),Q1548813,css 202407,skipped: no valid 034
987013552077705171,https://www.nli.org.il/he/authorities/987013552077705171,20260219-20260225,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 43.8858 f=N13.7831 g=,,Shar'ab as-Salam (Yemen : District),שרעב אל-סלאם (תימן : מחוז),Q4120340,css 202507,skipped: no valid 034
987013553559905171,https://www.nli.org.il/he/authorities/987013553559905171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 0.61583 f=N51.21583 g=,,East Sutton (England),מזרח סטון (אנגליה),Q930290,css 202507,skipped: no valid 034
987013617167705171,https://www.nli.org.il/he/authorities/987013617167705171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 84.35 f=N21.07 g=,,Redhakhol (India),רהדהקול (הודו),Q2006708,css 202508,skipped: no valid 034
987013617169205171,https://www.nli.org.il/he/authorities/987013617169205171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 69.4 f=N40.4 g=,,Sogdia (Uzbekistan),סוגדיה (אוזבקיסטן),Q486244,css 202508,skipped: no valid 034
987013961920605171,https://www.nli.org.il/he/authorities/987013961920605171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E35.4614 f=N32.0958 35.4614 g=,,Zaretan (Extinct city) (West Bank),צרתן (עיר קדומה) (יהודה ושומרון),Q147911,css 202512,skipped: no valid 034
987013617161705171,https://www.nli.org.il/he/authorities/987013617161705171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E71.3315 f=N 38.2886 g=,,Vanj River (Tajikistan),נהר ונג' (טג'יקיסטן),Q4121876,css 202509,skipped: no valid 034
987013617166805171,https://www.nli.org.il/he/authorities/987013617166805171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 23.24 f=N70.42 g=,,Seiland (Norway),סילנד (נורווגיה),Q3245106,css 202508,skipped: no valid 034
987013526575305171,https://www.nli.org.il/he/authorities/987013526575305171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d=W 043.2 e= f= g=S019.9,,Iron Quadrangle (Brazil),מרובע הברזל (ברזיל),Q10355821,css 202507,skipped: no valid 034
987013553548905171,https://www.nli.org.il/he/authorities/987013553548905171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d=W 0.523 e= f=N50.949 g=,,Hardham (England),הרדהם (אנגליה),Q5655956,css 202507,skipped: no valid 034
987013553563805171,https://www.nli.org.il/he/authorities/987013553563805171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 83.6096 f=N24.69743 g=,,Adhaura (India),אדהאורה (הודו),Q105082166,css 202507,skipped: no valid 034
987013553575005171,https://www.nli.org.il/he/authorities/987013553575005171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 021.78 f=N049.25 g=,,Chotča (Slovakia),חוטצה (סלובקיה),Q1037225,css 202507,skipped: no valid 034
987013602036005171,https://www.nli.org.il/he/authorities/987013602036005171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d=W 2.8110 e= f=N51.0600 g=,,Low Ham (England),לו האם (אנגליה),Q6692879,css 202508,skipped: no valid 034
987013602036405171,https://www.nli.org.il/he/authorities/987013602036405171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 0.13 f=N050.90 g=,,Laughton (England),לופטון (אנגליה),Q1961167,css 202508,skipped: no valid 034
987013552076805171,https://www.nli.org.il/he/authorities/987013552076805171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 2.911 f=N42.162 g=,,Bàscara (Spain),בסקרה (ספרד),Q11232,css 202507,skipped: no valid 034
987013553560005171,https://www.nli.org.il/he/authorities/987013553560005171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E 37.2556 f=N12.3500 g=,,Dembiya (Ethiopia),דמביה (אתיופיה),Q2895561,css 202507,skipped: no valid 034
987013553563605171,https://www.nli.org.il/he/authorities/987013553563605171,20260305-20260311,live,contains-space+decimal-degrees+incomplete-point (missing $e and/or $g),[] d= e=E15.66792 f=N 44.00995 g=,,Asseria (Croatia),אסריה (קרואטיה),Q741219,css 202507,skipped: no valid 034
