nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,existing_he_type,why
987007558086305171,https://www.nli.org.il/he/authorities/987007558086305171,אירופה,Europe,Q46,https://www.wikidata.org/wiki/Q46,part of the world / continent / region / geographic location,Europe,75795,https://data.geo-kima.org/Places/Details/75795,אירופה,Europe,0,no type recorded in Kima,1343.3,3601.3,extended-feature,both points lie on the feature — no real move,20250108-20250114,אי,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007282447105171,https://www.nli.org.il/he/authorities/987007282447105171,נהר אייבון (אנגליה),"Avon, River (Leicestershire-Gloucestershire, England)",Q19709,https://www.wikidata.org/wiki/Q19709,river,River Avon,1858,https://data.geo-kima.org/Places/Details/1858,נהר אייבון (אנגליה),"Avon, River (Leicestershire-Gloucestershire, England)",1,settlement / point feature,91.5,154.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007531868905171,https://www.nli.org.il/he/authorities/987007531868905171,נהר התמזה (אנגליה),Thames River (England),Q19686,https://www.wikidata.org/wiki/Q19686,river,River Thames,2259,https://data.geo-kima.org/Places/Details/2259,נהר התמזה (אנגליה),Thames River (England),1,settlement / point feature,183.6,334.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007292819905171,https://www.nli.org.il/he/authorities/987007292819905171,נהר אדיג'ה (איטליה),Adige River (Italy),Q13696,https://www.wikidata.org/wiki/Q13696,river,Adige,1572,https://data.geo-kima.org/Places/Details/1572,נהר אדיג'ה (איטליה),Adige River (Italy),1,settlement / point feature,233.2,410.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007536401205171,https://www.nli.org.il/he/authorities/987007536401205171,נהר הטיבר (איטליה),Tiber River (Italy),Q13712,https://www.wikidata.org/wiki/Q13712,river,Tiber,2267,https://data.geo-kima.org/Places/Details/2267,נהר הטיבר (איטליה),Tiber River (Italy),1,settlement / point feature,227.9,405.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007529861005171,https://www.nli.org.il/he/authorities/987007529861005171,נהר יאמונה (הודו),Yamuna River (India),Q34953450,https://www.wikidata.org/wiki/Q34953450,river / river,Yamuna,3853,https://data.geo-kima.org/Places/Details/3853,נהר יאמונה (הודו),Yamuna River (India),1,settlement / point feature,687.8,1376.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007541237805171,https://www.nli.org.il/he/authorities/987007541237805171,ריביירה (איטליה),Riviera (Italy),Q2155654,https://www.wikidata.org/wiki/Q2155654,coast / riviera / region / coast,Riviera di Levante,2055,https://data.geo-kima.org/Places/Details/2055,ריביירה (איטליה),Riviera (Italy),1,settlement / point feature,36.4,,extended-feature,both points lie on the feature — no real move,20250115-20250121,,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007551852505171,https://www.nli.org.il/he/authorities/987007551852505171,נהר שי (סין),Xi River (China),Q216941,https://www.wikidata.org/wiki/Q216941,river,Xi River,85293,https://data.geo-kima.org/Places/Details/85293,נהר שי (סין),Xi River (China),0,no type recorded in Kima,271.9,2197.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007565950605171,https://www.nli.org.il/he/authorities/987007565950605171,נהר אוסורי (רוסיה וסין),Ussuri River (Russia and China),Q207777,https://www.wikidata.org/wiki/Q207777,river,Ussuri,3978,https://data.geo-kima.org/Places/Details/3978,נהר אוסורי (רוסיה וסין),Ussuri River (Russia and China),1,settlement / point feature,524.3,897.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,נהר,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
987007563307505171,https://www.nli.org.il/he/authorities/987007563307505171,פריולי (איטליה),Friuli (Italy),Q160570,https://www.wikidata.org/wiki/Q160570,region,Friuli,80643,https://data.geo-kima.org/Places/Details/80643,פריולי (איטליה),Friuli (Italy),0,no type recorded in Kima,42.8,102.4,extended-feature,both points lie on the feature — no real move,20250115-20250121,,"Hebrew heading already names the feature type — NLI does do this, just not consistently"
