nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,proposed_he_type,proposed_heb_heading,alt_form_parenthetical,alt_form_comma,form_note,kima_fallback_location_type_id,kima_fallback_meaning,why
987007548212005171,https://www.nli.org.il/he/authorities/987007548212005171,הודו-סין,Indochina,Q43467,https://www.wikidata.org/wiki/Q43467,peninsula / region,Mainland Southeast Asia,1315,https://data.geo-kima.org/Places/Details/1315,הודו-סין,Indochina,2,region / extended feature,691.3,1753.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,חצי האי,חצי האי הודו-סין,הודו-סין (חצי האי),"הודו-סין, חצי האי",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a peninsula; the Hebrew heading does not say what kind of entity it is
987007558385105171,https://www.nli.org.il/he/authorities/987007558385105171,פודהייל (פולין),Podhale (Poland),Q115155,https://www.wikidata.org/wiki/Q115155,valley,,2224,https://data.geo-kima.org/Places/Details/2224,פודהייל (פולין),Podhale (Poland),1,settlement / point feature,157.9,,kima-coords-wrong,kima-coords-wrong,20250115-20250121,עמק,עמק פודהייל (פולין),פודהייל (פולין : עמק),"פודהייל, עמק (פולין)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a valley; the Hebrew heading does not say what kind of entity it is
987007558563405171,https://www.nli.org.il/he/authorities/987007558563405171,גאלווי (סקוטלנד),Galloway (Scotland),Q24643616,https://www.wikidata.org/wiki/Q24643616,region,Galloway,3914,https://data.geo-kima.org/Places/Details/3914,גאלווי (סקוטלנד),Galloway (Scotland),1,settlement / point feature,23.4,,extended-feature,both points lie on the feature — no real move,20250122-20250128,אזור,אזור גאלווי (סקוטלנד),גאלווי (סקוטלנד : אזור),"גאלווי, אזור (סקוטלנד)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007541357205171,https://www.nli.org.il/he/authorities/987007541357205171,סיביר (רוסיה),Siberia (Russia),Q5428,https://www.wikidata.org/wiki/Q5428,region,Siberia,2419,https://data.geo-kima.org/Places/Details/2419,סיביר (רוסיה),Siberia (Russia),1,settlement / point feature,6376.4,3568.2,nli-034-antimeridian,nli-034-antimeridian,20250122-20250128,אזור,אזור סיביר (רוסיה),סיביר (רוסיה : אזור),"סיביר, אזור (רוסיה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987011433526905171,https://www.nli.org.il/he/authorities/987011433526905171,ריו גרנדה (קולורדו-מקסיקו וטקסס),Rio Grande (Colo.-Mexico and Tex.),Q160636,https://www.wikidata.org/wiki/Q160636,river / border river,Rio Grande,2052,https://data.geo-kima.org/Places/Details/2052,ריו גרנדה,Rio Grande,2,region / extended feature,1639.7,3051.0,extended-feature,both points lie on the feature — no real move,20250122-20250128,נהר,נהר ריו גרנדה (קולורדו-מקסיקו וטקסס),ריו גרנדה (קולורדו-מקסיקו וטקסס : נהר),"ריו גרנדה, נהר (קולורדו-מקסיקו וטקסס)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007553466805171,https://www.nli.org.il/he/authorities/987007553466805171,אואטר בנקס (קרולינה הצפונית),Outer Banks (N.C.),Q1517373,https://www.wikidata.org/wiki/Q1517373,barrier island / island / island group,Outer Banks,2818,https://data.geo-kima.org/Places/Details/2818,אואטר בנקס (צפון קרולינה),Outer Banks (N.C.),1,settlement / point feature,37.5,,extended-feature,both points lie on the feature — no real move,20250129-20250204,איים,איים אואטר בנקס (קרולינה הצפונית),אואטר בנקס (קרולינה הצפונית : איים),"אואטר בנקס, איים (קרולינה הצפונית)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a barrier island; the Hebrew heading does not say what kind of entity it is
987007534295705171,https://www.nli.org.il/he/authorities/987007534295705171,ביג ת'יקט (טקסס),Big Thicket (Tex.),Q34696004,https://www.wikidata.org/wiki/Q34696004,forest,Big Thicket,3307,https://data.geo-kima.org/Places/Details/3307,ביג ת'יקט (טקסס),Big Thicket (Tex.),1,settlement / point feature,396.2,,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20250129-20250204,יער,יער ביג ת'יקט (טקסס),ביג ת'יקט (טקסס : יער),"ביג ת'יקט, יער (טקסס)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a forest; the Hebrew heading does not say what kind of entity it is
987007550889705171,https://www.nli.org.il/he/authorities/987007550889705171,לברדור (ניופאונדלנד ולברדור),Labrador (N.L.),Q380307,https://www.wikidata.org/wiki/Q380307,region,Labrador,2711,https://data.geo-kima.org/Places/Details/2711,לברדור (קנדה),Labrador (N.L.),1,settlement / point feature,231.3,612.2,extended-feature,both points lie on the feature — no real move,20250212-20250218,אזור,אזור לברדור (ניופאונדלנד ולברדור),לברדור (ניופאונדלנד ולברדור : אזור),"לברדור, אזור (ניופאונדלנד ולברדור)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007554286305171,https://www.nli.org.il/he/authorities/987007554286305171,קומאטי,Komati River,Q1635625,https://www.wikidata.org/wiki/Q1635625,river,Komati River,87191,https://data.geo-kima.org/Places/Details/87191,קומאטי,Komati River,0,no type recorded in Kima,263.1,480.0,extended-feature,both points lie on the feature — no real move,20250212-20250218,נהר,נהר קומאטי,קומאטי (נהר),"קומאטי, נהר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007553768505171,https://www.nli.org.il/he/authorities/987007553768505171,פרוט,Prut River,Q182445,https://www.wikidata.org/wiki/Q182445,river,Prut,69886,https://data.geo-kima.org/Places/Details/69886,פרוט,Prut River,0,no type recorded in Kima,408.6,953.0,extended-feature,both points lie on the feature — no real move,20250212-20250218,נהר,נהר פרוט,פרוט (נהר),"פרוט, נהר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
