nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,why,roman_tier_word,roman_tier_meaning,proposed_he_tier,proposed_heb_heading,vocabulary_status
987007282651805171,https://www.nli.org.il/he/authorities/987007282651805171,צפון מזרח ברזיל,"Brazil, Northeast",Q1136194,https://www.wikidata.org/wiki/Q1136194,region of Brazil,,1821,https://data.geo-kima.org/Places/Details/1821,צפון מזרח ברזיל,"Brazil, Northeast",0,no type recorded in Kima,427.2,1406.8,extended-feature,both points lie on the feature — no real move,20250122-20250128,Wikidata calls this an administrative division (region of Brazil); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,region,the Roman heading names the administrative tier; the Hebrew does not,מחוז,,"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007550542405171,https://www.nli.org.il/he/authorities/987007550542405171,מחוז אפאצ'י (אריזונה),Apache County (Ariz.),Q58771,https://www.wikidata.org/wiki/Q58771,county of Arizona,Apache County,11829,https://data.geo-kima.org/Places/Details/11829,מחוז אפאצ'י (אריזונה),Apache County (Ariz.),1,settlement / point feature,46.6,192.3,extended-feature,both points lie on the feature — no real move,20250129-20250204,Wikidata calls this an administrative division (county of Arizona); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,county,the Roman heading names the administrative tier; the Hebrew does not,נפה,אפאצ'י (אריזונה : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007557268205171,https://www.nli.org.il/he/authorities/987007557268205171,אספיריטו סנטו (ברזיל : מדינה),Espírito Santo (Brazil : State),Q43233,https://www.wikidata.org/wiki/Q43233,federative unit of Brazil,Espírito Santo,6161,https://data.geo-kima.org/Places/Details/6161,אספיריטו סנטו (ברזיל : מדינה),Espirito Santo (Brazil : State),2,region / extended feature,64.7,242.2,extended-feature,both points lie on the feature — no real move,20251223-20251229,Wikidata calls this an administrative division (federative unit of Brazil); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,state,the Roman heading names the administrative tier; the Hebrew does not,מדינה,אספיריטו סנטו (ברזיל : מדינה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007529816305171,https://www.nli.org.il/he/authorities/987007529816305171,מרכז יוון ואביה (יוון),Central Greece and Euboea (Greece),Q199580,https://www.wikidata.org/wiki/Q199580,administrative region of Greece,Central Greece Region,3233,https://data.geo-kima.org/Places/Details/3233,מרכז יוון ואביה (יוון),Central Greece and Euboea (Greece),1,settlement / point feature,58.7,140.7,extended-feature,both points lie on the feature — no real move,20260219-20260225,Wikidata calls this an administrative division (administrative region of Greece); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,region,the Roman heading names the administrative tier; the Hebrew does not,מחוז,מרכז יוון ואביה (יוון : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566799105171,https://www.nli.org.il/he/authorities/987007566799105171,מרה ורומסדל (נורווגיה),Møre og Romsdal fylke (Norway),Q50627,https://www.wikidata.org/wiki/Q50627,county of Norway,Møre og Romsdal,82520,https://data.geo-kima.org/Places/Details/82520,מרה ורומסדל (נורבגיה),Møre og Romsdal fylke (Norway),0,no type recorded in Kima,26.4,138.7,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (county of Norway); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,fylke,the Roman heading names the administrative tier; the Hebrew does not,מחוז,מרה ורומסדל (נורווגיה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007560014405171,https://www.nli.org.il/he/authorities/987007560014405171,חלב (סוריה : פרובינציה),Aleppo (Syria : Province),Q41183,https://www.wikidata.org/wiki/Q41183,governorate of Syria / city / big city / populated place in Syria,Aleppo,15119,https://data.geo-kima.org/Places/Details/15119,חלב (סוריה : פרובינציה),Aleppo (Syria : Province),2,region / extended feature,26.0,153.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (governorate of Syria / city / big city / populated place in Syria); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,חלב (סוריה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007561914205171,https://www.nli.org.il/he/authorities/987007561914205171,צ'יוואווה (מקסיקו : מדינה),Chihuahua (Mexico : State),Q655,https://www.wikidata.org/wiki/Q655,state of Mexico,Chihuahua,8952,https://data.geo-kima.org/Places/Details/8952,צ'יוואווה (מקסיקו : מדינה),Chihuahua (Mexico : State),2,region / extended feature,57.8,561.3,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (state of Mexico); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,state,the Roman heading names the administrative tier; the Hebrew does not,מדינה,צ'יוואווה (מקסיקו : מדינה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007581532005171,https://www.nli.org.il/he/authorities/987007581532005171,בני וואניף (אלג'יריה),Banī Wanīf (Algeria),Q3019615,https://www.wikidata.org/wiki/Q3019615,district of Algeria,Béni Ounif District,24643,https://data.geo-kima.org/Places/Details/24643,בני וואניף (אלג'יריה),Béni Ounif (Algeria),1,settlement / point feature,51.4,145.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (district of Algeria); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,district,the Roman heading names the administrative tier; the Hebrew does not,נפה,בני וואניף (אלג'יריה : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007561908705171,https://www.nli.org.il/he/authorities/987007561908705171,גרמפיאן (סקוטלנד),Grampian (Scotland),Q1542364,https://www.wikidata.org/wiki/Q1542364,Scottish region,Grampian,9883,https://data.geo-kima.org/Places/Details/9883,גרמפיאן (סקוטלנד),Grampian (Scotland),1,settlement / point feature,380.7,,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260727-20260727,Wikidata calls this an administrative division (Scottish region); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,,no tier word found,,,"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007564562205171,https://www.nli.org.il/he/authorities/987007564562205171,יונאן שנג (סין),Yunnan Sheng (China),Q43194,https://www.wikidata.org/wiki/Q43194,province of China,Yunnan,10789,https://data.geo-kima.org/Places/Details/10789,יונאן שנג (סין),Yunnan Sheng (China),1,settlement / point feature,1959.3,708.4,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260727-20260727,Wikidata calls this an administrative division (province of China); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,יונאן שנג (סין : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
