nli_id,nli_url,heb_heading,rom_heading,roman_tier_word,roman_tier_meaning,proposed_he_tier,proposed_heb_heading,kima_holder_id,kima_holder_heb,kima_holder_meaning,kima_owner_id,kima_owner_heb,kima_owner_meaning,distance_km,classifier_bucket,classifier_bucket_meaning,note,vocabulary_status
987007480110005171,https://www.nli.org.il/he/authorities/987007480110005171,פרדוביצה (צ'כיה : מחוז),Pardubice (Czech Republic : Okres),okres,the Roman heading names the administrative tier; the Hebrew does not,נפה,פרדוביצה (צ'כיה : נפה),90663,פרדוביצה (צ'כיה : מחוז משנה),the Kima place that already holds this NLI record id,90637,פרדוביצה (צ'כיה : מחוז),a different Kima place that owns the flat Hebrew heading NLI sends,38.1,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90663 ""פרדוביצה (צ'כיה : מחוז משנה)"" and B as 90637 ""פרדוביצה (צ'כיה : מחוז)""; NLI's flat Hebrew ""פרדוביצה (צ'כיה : מחוז)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007557512105171,https://www.nli.org.il/he/authorities/987007557512105171,אישיגאקי (יפן),Ishigaki-shi (Japan),shi,the Roman heading names the administrative tier; the Hebrew does not,עיר,אישיגאקי (יפן : עיר),90700,אישיגאקי (יפן:אי),the Kima place that already holds this NLI record id,90599,אישיגאקי (יפן),a different Kima place that owns the flat Hebrew heading NLI sends,8.0,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90700 ""אישיגאקי (יפן:אי)"" and B as 90599 ""אישיגאקי (יפן)""; NLI's flat Hebrew ""אישיגאקי (יפן)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007566720805171,https://www.nli.org.il/he/authorities/987007566720805171,מחוז הורדנה (בלארוס),Hrodzenskai︠a︡ voblastsʹ (Belarus),voblastsʹ,the Roman heading names the administrative tier; the Hebrew does not,מחוז,הורדנה (בלארוס : מחוז),90596,הורדנה (בלארוס: אובלסט),the Kima place that already holds this NLI record id,90646,מחוז הורדנה (בלארוס),a different Kima place that owns the flat Hebrew heading NLI sends,48.8,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90596 ""הורדנה (בלארוס: אובלסט)"" and B as 90646 ""מחוז הורדנה (בלארוס)""; NLI's flat Hebrew ""מחוז הורדנה (בלארוס)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007480110605171,https://www.nli.org.il/he/authorities/987007480110605171,ליברץ (צ'כיה),Liberecký kraj (Czech Republic),kraj,the Roman heading names the administrative tier; the Hebrew does not,מחוז,ליברץ (צ'כיה : מחוז),90633,ליברץ (צ'כיה: מחוז),the Kima place that already holds this NLI record id,13601,ליברץ (צ'כיה),a different Kima place that owns the flat Hebrew heading NLI sends,8.2,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90633 ""ליברץ (צ'כיה: מחוז)"" and B as 13601 ""ליברץ (צ'כיה)""; NLI's flat Hebrew ""ליברץ (צ'כיה)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007479992705171,https://www.nli.org.il/he/authorities/987007479992705171,זלין (צ'כיה),Zlínský kraj (Czech Republic),kraj,the Roman heading names the administrative tier; the Hebrew does not,מחוז,זלין (צ'כיה : מחוז),90621,זלין (צ'כיה:מחוז),the Kima place that already holds this NLI record id,90680,זלין (צ'כיה),a different Kima place that owns the flat Hebrew heading NLI sends,4.4,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90621 ""זלין (צ'כיה:מחוז)"" and B as 90680 ""זלין (צ'כיה)""; NLI's flat Hebrew ""זלין (צ'כיה)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007562028305171,https://www.nli.org.il/he/authorities/987007562028305171,מחוז מינסק (בלארוס),Minskai︠a︡ voblastsʹ (Belarus),voblastsʹ,the Roman heading names the administrative tier; the Hebrew does not,מחוז,מינסק (בלארוס : מחוז),90677,מינסק (בלארוס:אובלסט),the Kima place that already holds this NLI record id,90598,מחוז מינסק (בלארוס),a different Kima place that owns the flat Hebrew heading NLI sends,30.5,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90677 ""מינסק (בלארוס:אובלסט)"" and B as 90598 ""מחוז מינסק (בלארוס)""; NLI's flat Hebrew ""מחוז מינסק (בלארוס)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007564837905171,https://www.nli.org.il/he/authorities/987007564837905171,פיוטרקוב (פולין : מחוז),Piotrków Trybunalski (Poland : Voivodeship),voivodeship,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פיוטרקוב (פולין : מחוז),90645,פיוטרקוב (פולין : פרובינציה),the Kima place that already holds this NLI record id,27136,פיוטרקוב (פולין : מחוז),a different Kima place that owns the flat Hebrew heading NLI sends,0.0,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90645 ""פיוטרקוב (פולין : פרובינציה)"" and B as 27136 ""פיוטרקוב (פולין : מחוז)""; NLI's flat Hebrew ""פיוטרקוב (פולין : מחוז)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007535451305171,https://www.nli.org.il/he/authorities/987007535451305171,אאכן (גרמניה : מחוז),Aachen (Germany : Regierungsbezirk),regierungsbezirk,the Roman heading names the administrative tier; the Hebrew does not,מחוז ממשל,אאכן (גרמניה : מחוז ממשל),90676,אאכן (גרמניה : מחוז שלטוני),the Kima place that already holds this NLI record id,90704,אאכן (גרמניה : מחוז),a different Kima place that owns the flat Hebrew heading NLI sends,11.0,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90676 ""אאכן (גרמניה : מחוז שלטוני)"" and B as 90704 ""אאכן (גרמניה : מחוז)""; NLI's flat Hebrew ""אאכן (גרמניה : מחוז)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007552845305171,https://www.nli.org.il/he/authorities/987007552845305171,קושאלין (פולין : מחוז),Koszalin (Poland : Voivodeship),voivodeship,the Roman heading names the administrative tier; the Hebrew does not,מחוז,קושאלין (פולין : מחוז),90687,קושאלין (פולין : פרובינציה),the Kima place that already holds this NLI record id,90685,קושאלין (פולין : מחוז),a different Kima place that owns the flat Hebrew heading NLI sends,23.6,already-disambiguated-in-kima,Kima already made the distinction NLI does not,"Kima already holds A as 90687 ""קושאלין (פולין : פרובינציה)"" and B as 90685 ""קושאלין (פולין : מחוז)""; NLI's flat Hebrew ""קושאלין (פולין : מחוז)"" only needs to stay a variant of A","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
987007557595805171,https://www.nli.org.il/he/authorities/987007557595805171,ויימאר (גרמניה : מחוז),Weimar (Germany : Landkreis),landkreis,the Roman heading names the administrative tier; the Hebrew does not,נפה,ויימאר (גרמניה : נפה),83100,וימאר (גרמניה : מחוז),the Kima place that already holds this NLI record id,15997,ויימאר (גרמניה : מחוז),a different Kima place that owns the flat Hebrew heading NLI sends,,pseudo-disambiguated-in-kima,Kima distinguishes only by spelling/punctuation,"Kima holds both (A=83100 ""וימאר (גרמניה : מחוז)"", B=15997 ""ויימאר (גרמניה : מחוז)"") but the headings differ only in spelling/punctuation — still ambiguous","WORKING ASSUMPTION — tier-vocabulary.md §3a, not yet settled"
